PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
4.4187627,-0.2121471,-1.2753533,-2.1238158,-2.4887478,1.4300452,7.9908175,-0.09219695,-0.40379107,0.24192676,2.5522513,-1.0335634,1.8668401,-1.1778727,-2.5570722,-0.3410935,0.45618597,3.1277456,1.1654379,0.03674571,2.2501862,-0.20041062,0.27222225
-1.1168022,-0.27226257,3.1634183,0.9122395,1.1998836,-4.5652986,-1.2460982,3.0572822,-1.916711,0.75275224,-0.2400046,-1.2751045,-1.9043295,-0.081818245,-0.5633558,-0.9633912,-6.4658804,-1.8982755,0.9478352,-0.14340453,-4.4676023,-0.7087498,-0.5376493
2.9653223,-5.688354,-1.0024294,-4.549156,2.9606361,4.835525,8.089823,7.9215302,-0.6959179,6.6113453,6.24502,-0.83411753,1.6825552,-6.0307446,-5.6939173,-12.050302,3.254325,5.4715924,8.977812,-0.07804086,-5.4169035,4.8973246,3.5867233
-3.8866208,-0.09095938,0.7662252,2.6403697,1.8021047,-0.108222805,-2.7326725,0.61095047,1.0470935,1.2909325,-1.6056356,0.94468856,-0.091582224,0.94652593,0.33744386,-1.570594,-0.7965209,-2.2006965,-0.2946146,1.1258744,-0.5396856,0.36965108,1.3776176
-1.3597884,-1.6796771,-0.44951317,1.2567061,-1.2992387,4.4348755,0.17465025,0.14516681,-1.0927386,1.9968411,-5.140299,-0.9140773,1.3437072,0.06727245,-0.825878,-5.720279,2.5782278,-1.9125898,3.3152907,1.1929528,1.5140312,0.020479169,2.4714334
0.69080234,1.5076627,1.545665,-0.8862052,4.559325,-1.1754977,0.8148506,-4.6057935,0.18940997,-0.75551724,4.2113137,2.5153232,0.9503891,-2.5984383,-3.0724218,4.4005,-1.8833493,0.6550088,-4.318131,-0.9021273,0.37935284,-0.22009528,-0.33895892
-2.2622368,-1.154583,1.6887925,-0.2695473,-0.3252212,2.4725459,-2.5607104,0.12876233,-0.37036273,-0.8767264,-2.916265,0.34450418,-0.09646899,1.3530867,-0.30511993,0.23838836,-0.5063114,0.07890478,0.010736676,2.2446158,3.3465538,0.32625932,0.5456104
1.4405216,0.5007527,-1.2747552,-1.9299468,-0.29077876,-4.1574383,1.5311707,0.14744821,-1.1904504,-0.92439365,1.804599,-2.1233659,-0.96896803,-0.7130234,-0.22238363,2.8736181,-1.8784771,0.91099906,-3.263003,-1.2572055,-0.90273136,-0.06621241,-0.32372755
1.1625869,-0.02631875,-0.22455391,-1.29137,-0.1429807,4.5046287,-0.7045931,-3.4842274,-1.2323265,1.5482075,1.4264163,-0.12774464,5.075789,-1.621336,-2.1719046,0.03902509,0.8169974,0.88787484,1.4184021,0.46713197,2.3697147,-0.18970367,0.32206604
2.0831642,-0.6684434,-1.3952955,-1.3570693,-4.1019487,1.703407,2.26032,0.12450241,-3.9358044,0.9096522,-0.95696557,-2.7378025,1.2857052,-0.4184137,0.21309696,-3.1140702,2.8347313,1.2951326,3.7027705,0.4727066,0.5833522,-0.79960847,0.3901622
